open,high,low,last,close,volume,date,symbol,exchange
166.27,167.79,164.56,165.29,165.35,726253.0,2022-08-08T18:00:00+0000,AAPL,IEXG
166.27,167.79,164.56,164.97,165.35,655722.0,2022-08-08T17:00:00+0000,AAPL,IEXG
166.27,167.79,165.13,165.68,165.35,518064.0,2022-08-08T16:00:00+0000,AAPL,IEXG
166.27,167.79,165.83,166.655,165.35,368799.0,2022-08-08T15:00:00+0000,AAPL,IEXG
166.27,167.77,165.83,167.53,165.35,201960.0,2022-08-08T14:00:00+0000,AAPL,IEXG
173.175,173.175,173.175,,,,2022-08-16T00:00:00+0000,AAPL,IEXG
172.995,173.14,172.95,,,,2022-08-15T23:00:00+0000,AAPL,IEXG
173.11,173.11,173.005,,,,2022-08-15T22:00:00+0000,AAPL,IEXG
173.11,173.11,172.975,,,,2022-08-15T21:00:00+0000,AAPL,IEXG
173.03,173.05,172.91,,,,2022-08-15T20:00:00+0000,AAPL,IEXG
171.36,173.3,171.02,173.01,172.1,590035.0,2022-08-15T19:00:00+0000,AAPL,IEXG
172.175,172.35,172.125,,,,2022-08-15T18:00:00+0000,AAPL,IEXG
171.36,173.3,171.02,172.99,172.1,459577.0,2022-08-15T17:00:00+0000,AAPL,IEXG
171.36,173.25,171.02,173.025,172.1,357349.0,2022-08-15T16:00:00+0000,AAPL,IEXG
171.36,172.45,171.02,171.76,172.1,258429.0,2022-08-15T15:00:00+0000,AAPL,IEXG
171.36,172.38,171.02,172.15,172.1,136073.0,2022-08-15T14:00:00+0000,AAPL,IEXG
171.36,171.5,171.02,171.1,172.1,1899.0,2022-08-15T13:00:00+0000,AAPL,IEXG
171.99,171.99,171.99,,,,2022-08-13T00:00:00+0000,AAPL,IEXG
171.695,171.72,171.655,,,,2022-08-12T23:00:00+0000,AAPL,IEXG
171.26,171.275,171.25,,,,2022-08-12T22:00:00+0000,AAPL,IEXG
170.88,170.905,170.865,,,,2022-08-12T21:00:00+0000,AAPL,IEXG
170.925,170.97,170.88,,,,2022-08-12T20:00:00+0000,AAPL,IEXG
170.5,170.52,170.425,,,,2022-08-12T19:00:00+0000,AAPL,IEXG
169.42,171.515,169.24,171.27,168.49,823715.0,2022-08-12T18:00:00+0000,AAPL,IEXG
169.42,171.335,169.24,170.89,168.49,724090.0,2022-08-12T17:00:00+0000,AAPL,IEXG
169.42,171.1,169.24,170.95,168.49,636363.0,2022-08-12T16:00:00+0000,AAPL,IEXG
169.42,170.62,169.24,170.52,168.49,431220.0,2022-08-12T15:00:00+0000,AAPL,IEXG
169.42,170.19,169.24,170.0,168.49,164185.0,2022-08-12T14:00:00+0000,AAPL,IEXG
169.42,169.51,169.24,169.5,168.49,873.0,2022-08-12T13:00:00+0000,AAPL,IEXG
168.51,168.51,168.51,,,,2022-08-12T00:00:00+0000,AAPL,IEXG
171.58,171.58,171.58,,,,2022-08-20T00:00:00+0000,AAPL,IEXG
171.85,171.925,171.84,,,,2022-08-19T23:00:00+0000,AAPL,IEXG
172.17,172.17,172.085,,,,2022-08-19T22:00:00+0000,AAPL,IEXG
172.745,172.765,172.71,,,,2022-08-19T21:00:00+0000,AAPL,IEXG
172.155,172.175,172.11,,,,2022-08-19T20:00:00+0000,AAPL,IEXG
172.6,173.735,171.64,171.865,174.15,997743.0,2022-08-19T19:00:00+0000,AAPL,IEXG
172.775,172.775,172.57,,,,2022-08-19T18:00:00+0000,AAPL,IEXG
172.6,173.735,171.64,172.715,174.15,775692.0,2022-08-19T17:00:00+0000,AAPL,IEXG
172.6,173.735,171.72,171.835,174.15,458429.0,2022-08-19T15:00:00+0000,AAPL,IEXG
172.6,173.735,172.5,172.705,174.15,243263.0,2022-08-19T14:00:00+0000,AAPL,IEXG
174.16,174.16,174.16,,,,2022-08-19T00:00:00+0000,AAPL,IEXG
174.255,174.255,174.195,,,,2022-08-18T23:00:00+0000,AAPL,IEXG
174.315,174.32,174.225,,,,2022-08-18T22:00:00+0000,AAPL,IEXG
173.975,174.05,173.97,,,,2022-08-18T21:00:00+0000,AAPL,IEXG
174.37,174.38,174.205,,,,2022-08-18T20:00:00+0000,AAPL,IEXG
174.015,174.07,173.97,,,,2022-08-18T19:00:00+0000,AAPL,IEXG
174.18,174.71,173.13,174.295,174.55,408018.0,2022-08-18T18:00:00+0000,AAPL,IEXG
174.18,174.71,173.13,173.975,174.55,347542.0,2022-08-18T17:00:00+0000,AAPL,IEXG
174.18,174.71,173.13,174.37,174.55,260805.0,2022-08-18T16:00:00+0000,AAPL,IEXG
174.18,174.56,173.13,173.995,174.55,186472.0,2022-08-18T15:00:00+0000,AAPL,IEXG
174.18,174.56,173.24,173.34,174.55,115084.0,2022-08-18T14:00:00+0000,AAPL,IEXG
174.575,174.575,174.575,,,,2022-08-18T00:00:00+0000,AAPL,IEXG
175.325,175.48,175.32,,,,2022-08-17T23:00:00+0000,AAPL,IEXG
174.47,174.7,174.14,,,,2022-08-17T22:00:00+0000,AAPL,IEXG
174.07,174.15,174.05,,,,2022-08-17T21:00:00+0000,AAPL,IEXG
173.36,173.425,173.325,,,,2022-08-17T20:00:00+0000,AAPL,IEXG
172.55,176.145,172.35,175.38,173.03,1022607.0,2022-08-17T19:00:00+0000,AAPL,IEXG
172.55,174.79,172.35,174.52,173.03,733732.0,2022-08-17T18:00:00+0000,AAPL,IEXG
172.55,174.53,172.35,174.07,173.03,611982.0,2022-08-17T17:00:00+0000,AAPL,IEXG
172.55,174.455,172.35,173.34,173.03,493074.0,2022-08-17T16:00:00+0000,AAPL,IEXG
172.55,174.455,172.35,173.23,173.03,364371.0,2022-08-17T15:00:00+0000,AAPL,IEXG
172.55,174.31,172.35,174.16,173.03,164559.0,2022-08-17T14:00:00+0000,AAPL,IEXG
172.55,172.98,172.37,172.69,173.03,1986.0,2022-08-17T13:00:00+0000,AAPL,IEXG
173.03,173.03,173.03,,,,2022-08-17T00:00:00+0000,AAPL,IEXG
172.34,172.34,172.22,,,,2022-08-16T23:00:00+0000,AAPL,IEXG
173.1,173.105,173.065,,,,2022-08-16T22:00:00+0000,AAPL,IEXG
172.835,172.865,172.825,,,,2022-08-16T21:00:00+0000,AAPL,IEXG
173.34,173.38,173.315,,,,2022-08-16T20:00:00+0000,AAPL,IEXG
173.05,173.71,171.665,172.325,173.19,715941.0,2022-08-16T19:00:00+0000,AAPL,IEXG
172.33,172.35,172.13,,,,2022-08-16T18:00:00+0000,AAPL,IEXG
173.05,173.49,171.665,172.83,173.19,520715.0,2022-08-16T17:00:00+0000,AAPL,IEXG
173.05,173.49,171.665,173.33,173.19,448007.0,2022-08-16T16:00:00+0000,AAPL,IEXG
173.05,173.11,171.665,172.35,173.19,324356.0,2022-08-16T15:00:00+0000,AAPL,IEXG
173.05,173.11,172.15,172.315,173.19,154069.0,2022-08-16T14:00:00+0000,AAPL,IEXG
173.05,173.11,172.69,172.74,173.19,1069.0,2022-08-16T13:00:00+0000,AAPL,IEXG
173.175,173.175,173.175,,,,2022-08-16T00:00:00+0000,AAPL,IEXG
167.1,167.1,167.1,,,,2022-08-24T00:00:00+0000,AAPL,IEXG
167.79,167.96,167.79,,,,2022-08-23T23:00:00+0000,AAPL,IEXG
167.585,167.585,167.48,,,,2022-08-23T22:00:00+0000,AAPL,IEXG
167.885,167.9,167.79,,,,2022-08-23T21:00:00+0000,AAPL,IEXG
167.815,167.885,167.765,,,,2022-08-23T20:00:00+0000,AAPL,IEXG
167.97,168.7,166.65,167.8,167.57,791136.0,2022-08-23T19:00:00+0000,AAPL,IEXG
167.97,168.7,166.65,167.58,167.57,720186.0,2022-08-23T18:00:00+0000,AAPL,IEXG
167.97,168.7,166.65,167.88,167.57,629535.0,2022-08-23T17:00:00+0000,AAPL,IEXG
167.97,168.7,167.03,167.075,167.57,366862.0,2022-08-23T15:00:00+0000,AAPL,IEXG
167.97,168.395,167.04,168.03,167.57,158693.0,2022-08-23T14:00:00+0000,AAPL,IEXG
167.58,167.58,167.58,,,,2022-08-23T00:00:00+0000,AAPL,IEXG
167.62,167.72,167.61,,,,2022-08-22T23:00:00+0000,AAPL,IEXG
168.2,168.205,168.16,,,,2022-08-22T22:00:00+0000,AAPL,IEXG
168.93,168.955,168.855,,,,2022-08-22T21:00:00+0000,AAPL,IEXG
168.77,168.79,168.7,,,,2022-08-22T20:00:00+0000,AAPL,IEXG
169.04,169.85,167.41,167.61,171.52,1008291.0,2022-08-22T19:00:00+0000,AAPL,IEXG
169.04,169.85,168.015,168.19,171.52,780747.0,2022-08-22T18:00:00+0000,AAPL,IEXG
169.04,169.85,168.015,168.945,171.52,669882.0,2022-08-22T17:00:00+0000,AAPL,IEXG
169.04,169.85,168.015,168.77,171.52,567549.0,2022-08-22T16:00:00+0000,AAPL,IEXG
169.04,169.85,168.06,168.065,171.52,373944.0,2022-08-22T15:00:00+0000,AAPL,IEXG
169.04,169.85,168.48,168.9,171.52,174718.0,2022-08-22T14:00:00+0000,AAPL,IEXG
171.58,171.58,171.58,,,,2022-08-20T00:00:00+0000,AAPL,IEXG
163.685,163.685,163.685,,,,2022-08-27T00:00:00+0000,AAPL,IEXG
164.685,164.855,164.68,,,,2022-08-26T23:00:00+0000,AAPL,IEXG
164.91,164.945,164.885,,,,2022-08-26T22:00:00+0000,AAPL,IEXG
166.3,166.31,166.17,,,,2022-08-26T21:00:00+0000,AAPL,IEXG
166.85,166.86,166.76,,,,2022-08-26T20:00:00+0000,AAPL,IEXG
169.8,171.07,164.55,164.68,170.03,989271.0,2022-08-26T19:00:00+0000,AAPL,IEXG
169.8,171.07,164.73,164.915,170.03,818349.0,2022-08-26T18:00:00+0000,AAPL,IEXG
169.8,171.07,165.78,166.29,170.03,554162.0,2022-08-26T17:00:00+0000,AAPL,IEXG
169.8,171.07,166.375,166.8,170.03,438120.0,2022-08-26T16:00:00+0000,AAPL,IEXG
169.8,171.07,167.32,167.54,170.03,277759.0,2022-08-26T15:00:00+0000,AAPL,IEXG
169.8,171.07,169.75,170.31,170.03,119049.0,2022-08-26T14:00:00+0000,AAPL,IEXG
169.8,170.42,169.77,170.42,170.03,1060.0,2022-08-26T13:00:00+0000,AAPL,IEXG
170.13,170.13,170.13,,,,2022-08-26T00:00:00+0000,AAPL,IEXG
169.245,169.285,169.21,,,,2022-08-25T23:00:00+0000,AAPL,IEXG
169.22,169.23,169.14,,,,2022-08-25T22:00:00+0000,AAPL,IEXG
168.66,168.665,168.56,,,,2022-08-25T21:00:00+0000,AAPL,IEXG
169.04,169.07,168.97,,,,2022-08-25T20:00:00+0000,AAPL,IEXG
168.8,169.935,168.35,169.26,167.53,664878.0,2022-08-25T19:00:00+0000,AAPL,IEXG
169.6,169.86,169.595,,,,2022-08-25T18:00:00+0000,AAPL,IEXG
168.8,169.935,168.38,169.04,167.53,411726.0,2022-08-25T16:00:00+0000,AAPL,IEXG
168.8,169.935,168.38,169.255,167.53,313474.0,2022-08-25T15:00:00+0000,AAPL,IEXG
168.8,169.75,168.38,169.73,167.53,150720.0,2022-08-25T14:00:00+0000,AAPL,IEXG
168.8,168.85,168.38,168.66,167.53,1474.0,2022-08-25T13:00:00+0000,AAPL,IEXG
167.645,167.645,167.645,,,,2022-08-25T00:00:00+0000,AAPL,IEXG
167.77,167.79,167.7,,,,2022-08-24T23:00:00+0000,AAPL,IEXG
167.575,167.645,167.525,,,,2022-08-24T22:00:00+0000,AAPL,IEXG
167.375,167.42,167.365,,,,2022-08-24T21:00:00+0000,AAPL,IEXG
167.545,167.675,167.535,,,,2022-08-24T20:00:00+0000,AAPL,IEXG
168.26,168.32,166.245,167.77,167.23,766877.0,2022-08-24T19:00:00+0000,AAPL,IEXG
168.26,168.32,166.245,167.6,167.23,656655.0,2022-08-24T18:00:00+0000,AAPL,IEXG
168.26,168.32,166.245,167.365,167.23,588273.0,2022-08-24T17:00:00+0000,AAPL,IEXG
168.26,168.32,166.245,167.55,167.23,467806.0,2022-08-24T16:00:00+0000,AAPL,IEXG
168.26,168.32,166.355,166.66,167.23,322746.0,2022-08-24T15:00:00+0000,AAPL,IEXG
168.26,168.32,166.425,166.765,167.23,141290.0,2022-08-24T14:00:00+0000,AAPL,IEXG
168.26,168.32,167.75,168.01,167.23,2140.0,2022-08-24T13:00:00+0000,AAPL,IEXG
167.1,167.1,167.1,,,,2022-08-24T00:00:00+0000,AAPL,IEXG
157.36,157.36,157.36,,,,2022-09-01T00:00:00+0000,AAPL,IEXG
157.93,157.96,157.755,,,,2022-08-31T23:00:00+0000,AAPL,IEXG
158.49,158.56,158.44,,,,2022-08-31T22:00:00+0000,AAPL,IEXG
159.04,159.045,158.94,,,,2022-08-31T21:00:00+0000,AAPL,IEXG
159.79,160.565,157.165,157.36,158.91,1201469.0,2022-08-31T20:00:00+0000,AAPL,IEXG
159.79,160.565,157.7,157.925,158.91,886533.0,2022-08-31T19:00:00+0000,AAPL,IEXG
160.125,160.145,159.79,,,,2022-08-31T18:00:00+0000,AAPL,IEXG
159.79,160.565,158.41,159.04,158.91,652011.0,2022-08-31T17:00:00+0000,AAPL,IEXG
159.79,160.565,158.41,159.585,158.91,544988.0,2022-08-31T16:00:00+0000,AAPL,IEXG
159.79,160.565,158.87,159.015,158.91,396329.0,2022-08-31T15:00:00+0000,AAPL,IEXG
159.79,160.565,158.88,160.135,158.91,190422.0,2022-08-31T14:00:00+0000,AAPL,IEXG
158.91,158.91,158.91,,,,2022-08-31T00:00:00+0000,AAPL,IEXG
158.455,158.49,158.4,,,,2022-08-30T23:00:00+0000,AAPL,IEXG
158.485,158.58,158.42,,,,2022-08-30T22:00:00+0000,AAPL,IEXG
158.785,158.785,158.67,,,,2022-08-30T21:00:00+0000,AAPL,IEXG
159.2,159.225,159.12,,,,2022-08-30T20:00:00+0000,AAPL,IEXG
159.16,159.285,159.005,,,,2022-08-30T19:00:00+0000,AAPL,IEXG
162.77,162.86,157.725,158.495,161.38,921849.0,2022-08-30T18:00:00+0000,AAPL,IEXG
162.77,162.86,158.23,158.765,161.38,754588.0,2022-08-30T17:00:00+0000,AAPL,IEXG
162.77,162.86,158.23,159.175,161.38,595593.0,2022-08-30T16:00:00+0000,AAPL,IEXG
162.77,162.86,158.23,159.11,161.38,409337.0,2022-08-30T15:00:00+0000,AAPL,IEXG
162.77,162.86,160.975,161.18,161.38,139262.0,2022-08-30T14:00:00+0000,AAPL,IEXG
161.38,161.38,161.38,,,,2022-08-30T00:00:00+0000,AAPL,IEXG
161.98,162.13,161.96,,,,2022-08-29T23:00:00+0000,AAPL,IEXG
162.09,162.105,161.95,,,,2022-08-29T22:00:00+0000,AAPL,IEXG
161.94,162.04,161.94,,,,2022-08-29T21:00:00+0000,AAPL,IEXG
161.22,161.31,161.08,,,,2022-08-29T20:00:00+0000,AAPL,IEXG
160.195,160.355,160.175,,,,2022-08-29T19:00:00+0000,AAPL,IEXG
161.34,162.9,159.82,162.08,163.62,1127172.0,2022-08-29T18:00:00+0000,AAPL,IEXG
161.34,162.9,159.82,162.0,163.62,1038513.0,2022-08-29T17:00:00+0000,AAPL,IEXG
161.34,162.9,159.82,161.09,163.62,896304.0,2022-08-29T16:00:00+0000,AAPL,IEXG
161.34,162.9,160.07,160.2,163.62,553444.0,2022-08-29T15:00:00+0000,AAPL,IEXG
161.34,162.745,160.8,161.85,163.62,182634.0,2022-08-29T14:00:00+0000,AAPL,IEXG
161.34,161.75,161.22,161.35,163.62,1574.0,2022-08-29T13:00:00+0000,AAPL,IEXG
155.845,155.845,155.845,,,,2022-09-03T00:00:00+0000,AAPL,IEXG
155.96,156.33,155.9,,,,2022-09-02T23:00:00+0000,AAPL,IEXG
155.69,155.85,155.66,,,,2022-09-02T22:00:00+0000,AAPL,IEXG
157.725,157.73,157.545,,,,2022-09-02T21:00:00+0000,AAPL,IEXG
159.8,159.87,159.79,,,,2022-09-02T20:00:00+0000,AAPL,IEXG
159.34,160.36,155.655,155.93,157.96,959771.0,2022-09-02T19:00:00+0000,AAPL,IEXG
159.34,160.36,155.655,155.71,157.96,853171.0,2022-09-02T18:00:00+0000,AAPL,IEXG
159.34,160.36,157.2,157.62,157.96,678608.0,2022-09-02T17:00:00+0000,AAPL,IEXG
159.34,160.36,158.67,159.81,157.96,522544.0,2022-09-02T16:00:00+0000,AAPL,IEXG
159.34,160.36,158.67,159.495,157.96,390502.0,2022-09-02T15:00:00+0000,AAPL,IEXG
159.34,160.13,159.15,159.37,157.96,133035.0,2022-09-02T14:00:00+0000,AAPL,IEXG
159.34,159.37,159.23,159.23,157.96,632.0,2022-09-02T13:00:00+0000,AAPL,IEXG
158.12,158.12,158.12,,,,2022-09-02T00:00:00+0000,AAPL,IEXG
156.855,156.935,156.755,,,,2022-09-01T23:00:00+0000,AAPL,IEXG
155.88,155.985,155.875,,,,2022-09-01T22:00:00+0000,AAPL,IEXG
154.97,154.975,154.84,,,,2022-09-01T21:00:00+0000,AAPL,IEXG
155.52,155.665,155.47,,,,2022-09-01T20:00:00+0000,AAPL,IEXG
156.58,157.66,154.68,156.83,157.22,1153603.0,2022-09-01T19:00:00+0000,AAPL,IEXG
156.58,157.66,154.68,155.92,157.22,976009.0,2022-09-01T18:00:00+0000,AAPL,IEXG
156.58,157.66,154.68,154.975,157.22,824641.0,2022-09-01T17:00:00+0000,AAPL,IEXG
156.58,157.66,155.17,155.48,157.22,693679.0,2022-09-01T16:00:00+0000,AAPL,IEXG
156.58,157.66,155.71,155.72,157.22,454228.0,2022-09-01T15:00:00+0000,AAPL,IEXG
156.58,157.485,155.925,157.3,157.22,158430.0,2022-09-01T14:00:00+0000,AAPL,IEXG
157.36,157.36,157.36,,,,2022-09-01T00:00:00+0000,AAPL,IEXG
154.36,154.36,154.36,,,,2022-09-09T00:00:00+0000,AAPL,IEXG
153.795,153.915,153.74,,,,2022-09-08T23:00:00+0000,AAPL,IEXG
153.545,153.715,153.545,,,,2022-09-08T22:00:00+0000,AAPL,IEXG
153.19,153.205,153.115,,,,2022-09-08T21:00:00+0000,AAPL,IEXG
155.6,156.36,152.7,154.36,155.96,1302059.0,2022-09-08T20:00:00+0000,AAPL,IEXG
155.6,156.36,152.7,153.81,155.96,985178.0,2022-09-08T19:00:00+0000,AAPL,IEXG
155.6,156.36,152.7,153.59,155.96,864747.0,2022-09-08T18:00:00+0000,AAPL,IEXG
155.6,156.36,152.72,153.195,155.96,740586.0,2022-09-08T17:00:00+0000,AAPL,IEXG
155.6,156.36,154.37,155.545,155.96,505750.0,2022-09-08T16:00:00+0000,AAPL,IEXG
155.6,155.96,154.37,155.79,155.96,385908.0,2022-09-08T15:00:00+0000,AAPL,IEXG
155.6,155.96,154.37,155.42,155.96,168813.0,2022-09-08T14:00:00+0000,AAPL,IEXG
155.94,155.94,155.94,,,,2022-09-08T00:00:00+0000,AAPL,IEXG
155.745,155.81,155.67,,,,2022-09-07T23:00:00+0000,AAPL,IEXG
155.55,155.615,155.475,,,,2022-09-07T22:00:00+0000,AAPL,IEXG
154.86,154.9,154.785,,,,2022-09-07T21:00:00+0000,AAPL,IEXG
154.75,154.91,154.72,,,,2022-09-07T20:00:00+0000,AAPL,IEXG
154.65,156.215,153.61,155.74,154.53,1151932.0,2022-09-07T19:00:00+0000,AAPL,IEXG
154.65,155.895,153.61,155.6,154.53,797749.0,2022-09-07T18:00:00+0000,AAPL,IEXG
154.65,155.895,153.61,154.875,154.53,601253.0,2022-09-07T17:00:00+0000,AAPL,IEXG
154.65,155.895,153.61,154.775,154.53,499860.0,2022-09-07T16:00:00+0000,AAPL,IEXG
154.65,155.895,154.39,155.205,154.53,156764.0,2022-09-07T14:00:00+0000,AAPL,IEXG
154.65,154.74,154.39,154.56,154.53,2410.0,2022-09-07T13:00:00+0000,AAPL,IEXG
154.6,154.6,154.6,,,,2022-09-07T00:00:00+0000,AAPL,IEXG
154.34,154.485,154.31,,,,2022-09-06T23:00:00+0000,AAPL,IEXG
154.5,154.61,154.39,,,,2022-09-06T22:00:00+0000,AAPL,IEXG
155.21,155.265,155.12,,,,2022-09-06T21:00:00+0000,AAPL,IEXG
156.075,156.13,155.97,,,,2022-09-06T20:00:00+0000,AAPL,IEXG
156.87,157.14,153.73,154.435,155.81,903827.0,2022-09-06T19:00:00+0000,AAPL,IEXG
156.87,157.14,153.73,154.45,155.81,827170.0,2022-09-06T18:00:00+0000,AAPL,IEXG
156.87,157.14,153.73,155.2,155.81,713829.0,2022-09-06T17:00:00+0000,AAPL,IEXG
156.87,157.14,153.73,156.12,155.81,547128.0,2022-09-06T16:00:00+0000,AAPL,IEXG
156.87,157.14,153.73,156.095,155.81,398935.0,2022-09-06T15:00:00+0000,AAPL,IEXG
156.87,157.14,155.03,155.03,155.81,160497.0,2022-09-06T14:00:00+0000,AAPL,IEXG
163.44,163.44,163.44,,,,2022-09-13T00:00:00+0000,AAPL,IEXG
163.575,163.605,163.5,,,,2022-09-12T23:00:00+0000,AAPL,IEXG
164.135,164.175,164.09,,,,2022-09-12T22:00:00+0000,AAPL,IEXG
163.09,163.125,163.01,,,,2022-09-12T21:00:00+0000,AAPL,IEXG
161.9,161.99,161.87,,,,2022-09-12T20:00:00+0000,AAPL,IEXG
159.64,164.26,159.41,163.525,157.37,283363.0,2022-09-12T19:00:00+0000,AAPL,IEXG
159.64,164.26,159.41,164.14,157.37,83747.0,2022-09-12T18:00:00+0000,AAPL,IEXG
159.32,163.14,159.06,163.085,157.37,1258043.0,2022-09-12T17:00:00+0000,AAPL,IEXG
159.32,162.89,159.06,161.94,157.37,1022241.0,2022-09-12T16:00:00+0000,AAPL,IEXG
159.32,162.04,159.06,161.375,157.37,680472.0,2022-09-12T15:00:00+0000,AAPL,IEXG
159.32,161.68,159.06,161.655,157.37,345047.0,2022-09-12T14:00:00+0000,AAPL,IEXG
157.36,157.36,157.36,,,,2022-09-10T00:00:00+0000,AAPL,IEXG
157.165,157.165,157.055,,,,2022-09-09T23:00:00+0000,AAPL,IEXG
157.075,157.075,156.985,,,,2022-09-09T22:00:00+0000,AAPL,IEXG
156.855,156.88,156.76,,,,2022-09-09T21:00:00+0000,AAPL,IEXG
156.855,156.93,156.69,,,,2022-09-09T20:00:00+0000,AAPL,IEXG
155.62,157.52,154.75,157.11,154.46,1022968.0,2022-09-09T19:00:00+0000,AAPL,IEXG
155.62,157.325,154.75,157.06,154.46,823842.0,2022-09-09T18:00:00+0000,AAPL,IEXG
155.62,157.175,154.75,156.88,154.46,621213.0,2022-09-09T17:00:00+0000,AAPL,IEXG
155.62,157.175,154.75,156.755,154.46,505595.0,2022-09-09T16:00:00+0000,AAPL,IEXG
155.62,156.835,154.75,156.68,154.46,318875.0,2022-09-09T15:00:00+0000,AAPL,IEXG
155.62,156.11,154.75,156.06,154.46,119541.0,2022-09-09T14:00:00+0000,AAPL,IEXG
154.36,154.36,154.36,,,,2022-09-09T00:00:00+0000,AAPL,IEXG
150.49,150.49,150.49,,,,2022-09-17T00:00:00+0000,AAPL,IEXG
150.49,150.59,150.47,,,,2022-09-16T23:00:00+0000,AAPL,IEXG
149.325,149.375,149.255,,,,2022-09-16T22:00:00+0000,AAPL,IEXG
149.405,149.48,149.3,,,,2022-09-16T21:00:00+0000,AAPL,IEXG
149.85,149.91,149.7,,,,2022-09-16T20:00:00+0000,AAPL,IEXG
148.99,149.17,148.965,,,,2022-09-16T19:00:00+0000,AAPL,IEXG
150.79,151.43,148.37,149.335,152.37,1470970.0,2022-09-16T18:00:00+0000,AAPL,IEXG
150.79,151.43,148.37,149.45,152.37,1196027.0,2022-09-16T17:00:00+0000,AAPL,IEXG
150.79,151.43,148.37,149.88,152.37,965792.0,2022-09-16T16:00:00+0000,AAPL,IEXG
150.79,151.43,148.37,148.97,152.37,765037.0,2022-09-16T15:00:00+0000,AAPL,IEXG
150.79,151.43,148.37,148.74,152.37,432322.0,2022-09-16T14:00:00+0000,AAPL,IEXG
152.4,152.4,152.4,,,,2022-09-16T00:00:00+0000,AAPL,IEXG
152.39,152.5,152.205,,,,2022-09-15T23:00:00+0000,AAPL,IEXG
153.44,153.45,153.315,,,,2022-09-15T22:00:00+0000,AAPL,IEXG
153.27,153.66,153.27,,,,2022-09-15T21:00:00+0000,AAPL,IEXG
152.63,152.715,152.585,,,,2022-09-15T20:00:00+0000,AAPL,IEXG
154.95,155.24,151.79,152.38,155.31,1208600.0,2022-09-15T19:00:00+0000,AAPL,IEXG
154.865,155.15,154.865,,,,2022-09-15T18:00:00+0000,AAPL,IEXG
154.95,155.24,151.79,153.3,155.31,905041.0,2022-09-15T17:00:00+0000,AAPL,IEXG
154.95,155.24,151.79,152.66,155.31,778397.0,2022-09-15T16:00:00+0000,AAPL,IEXG
154.95,155.24,151.79,152.04,155.31,426086.0,2022-09-15T15:00:00+0000,AAPL,IEXG
154.95,155.24,154.095,154.93,155.31,140045.0,2022-09-15T14:00:00+0000,AAPL,IEXG
155.44,155.44,155.44,,,,2022-09-15T00:00:00+0000,AAPL,IEXG
154.12,154.29,154.1,,,,2022-09-14T23:00:00+0000,AAPL,IEXG
154.33,154.39,154.295,,,,2022-09-14T22:00:00+0000,AAPL,IEXG
155.14,155.23,155.105,,,,2022-09-14T21:00:00+0000,AAPL,IEXG
155.79,155.835,155.685,,,,2022-09-14T20:00:00+0000,AAPL,IEXG
156.565,156.595,156.34,,,,2022-09-14T19:00:00+0000,AAPL,IEXG
153.55,157.09,153.55,154.32,153.84,1216232.0,2022-09-14T18:00:00+0000,AAPL,IEXG
